shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
5438,22.76904,75.90103,1,0
5438,22.76606,75.90007,2,0
5438,22.76226,75.89894,3,0
5438,22.75448,75.89654,4,0
5438,22.74951,75.89505,5,0
5438,22.74333,75.89316,6,0
5438,22.73744,75.89131,7,0
5438,22.73446,75.89037,8,0
5438,22.72904,75.88864,9,0
5438,22.72471,75.8871,10,0
5438,22.71902,75.88447,11,0
5438,22.71451,75.88368,12,0
5438,22.71109,75.88203,13,0
5438,22.70662,75.87887,14,0
5438,22.70357,75.87655,15,0
5438,22.69815,75.87753,16,0
5438,22.69513,75.87222,17,0
5438,22.69204,75.86684,18,0
5438,22.68949,75.86409,19,0
5438,22.68665,75.86125,20,0
5438,22.68392,75.8582,21,0
5439,22.68392,75.8582,1,0
5439,22.68665,75.86125,2,0
5439,22.68949,75.86409,3,0
5439,22.69204,75.86684,4,0
5439,22.69513,75.87222,5,0
5439,22.69815,75.87753,6,0
5439,22.70357,75.87655,7,0
5439,22.70662,75.87887,8,0
5439,22.71109,75.88203,9,0
5439,22.71451,75.88368,10,0
5439,22.71902,75.88447,11,0
5439,22.72471,75.8871,12,0
5439,22.72904,75.88864,13,0
5439,22.73446,75.89037,14,0
5439,22.73744,75.89131,15,0
5439,22.74333,75.89316,16,0
5439,22.74951,75.89505,17,0
5439,22.75448,75.89654,18,0
5439,22.76226,75.89894,19,0
5439,22.76606,75.90007,20,0
5439,22.76904,75.90103,21,0
5440,22.68392,75.8582,1,0
5440,22.68243,75.8552,2,0
5440,22.67794,75.84998,3,0
5440,22.6754,75.84674,4,0
5440,22.67382,75.84129,5,0
5440,22.67169,75.83487,6,0
5440,22.67021,75.83235,7,0
5440,22.66531,75.82676,8,0
5440,22.66232,75.82524,9,0
5440,22.65906,75.82423,10,0
5440,22.65582,75.82297,11,0
5440,22.64597,75.8276,12,0
5441,22.64597,75.8276,1,0
5441,22.65582,75.82297,2,0
5441,22.65906,75.82423,3,0
5441,22.66232,75.82524,4,0
5441,22.66531,75.82676,5,0
5441,22.67021,75.83235,6,0
5441,22.67169,75.83487,7,0
5441,22.67382,75.84129,8,0
5441,22.6754,75.84674,9,0
5441,22.67794,75.84998,10,0
5441,22.68243,75.8552,11,0
5441,22.68392,75.8582,12,0
5446,22.74651,75.81374,1,0
5446,22.73997,75.82355,2,0
5446,22.7386,75.82552,3,0
5446,22.73756,75.82684,4,0
5446,22.73633,75.82843,5,0
5446,22.73512,75.83015,6,0
5446,22.73428,75.83147,7,0
5446,22.73287,75.83338,8,0
5446,22.72989,75.8374,9,0
5446,22.72694,75.84163,10,0
5446,22.72607,75.84571,11,0
5446,22.72288,75.84609,12,0
5446,22.72283,75.8433,13,0
5446,22.72056,75.84171,14,0
5446,22.71747,75.84085,15,0
5446,22.71519,75.84062,16,0
5446,22.71313,75.84063,17,0
5446,22.70871,75.84163,18,0
5446,22.70537,75.84432,19,0
5446,22.70536,75.84727,20,0
5446,22.70685,75.85,21,0
5446,22.70837,75.85452,22,0
5446,22.7077,75.85902,23,0
5446,22.70085,75.86308,24,0
5446,22.6982,75.8646,25,0
5446,22.69268,75.86781,26,0
5446,22.68915,75.87031,27,0
5446,22.68538,75.87344,28,0
5446,22.6809,75.87598,29,0
5446,22.6792,75.87691,30,0
5446,22.67508,75.87926,31,0
5446,22.66851,75.8819,32,0
5446,22.66012,75.88457,33,0
5446,22.6569,75.88516,34,0
5446,22.65269,75.88601,35,0
5446,22.64545,75.88745,36,0
5446,22.63999,75.88834,37,0
5447,22.63999,75.88834,1,0
5447,22.64545,75.88745,2,0
5447,22.65269,75.88601,3,0
5447,22.6569,75.88516,4,0
5447,22.66012,75.88457,5,0
5447,22.66851,75.8819,6,0
5447,22.67508,75.87926,7,0
5447,22.6792,75.87691,8,0
5447,22.6809,75.87598,9,0
5447,22.68538,75.87344,10,0
5447,22.68915,75.87031,11,0
5447,22.69268,75.86781,12,0
5447,22.69772,75.86488,13,0
5447,22.70085,75.86308,14,0
5447,22.7077,75.85902,15,0
5447,22.70837,75.85452,16,0
5447,22.70685,75.85,17,0
5447,22.70538,75.84605,18,0
5447,22.70537,75.84432,19,0
5447,22.70871,75.84163,20,0
5447,22.71313,75.84063,21,0
5447,22.71519,75.84062,22,0
5447,22.71747,75.84085,23,0
5447,22.72056,75.84171,24,0
5447,22.72283,75.8433,25,0
5447,22.72288,75.84609,26,0
5447,22.72607,75.84571,27,0
5447,22.72694,75.84163,28,0
5447,22.72989,75.8374,29,0
5447,22.73287,75.83338,30,0
5447,22.73428,75.83147,31,0
5447,22.73512,75.83015,32,0
5447,22.73633,75.82843,33,0
5447,22.73756,75.82684,34,0
5447,22.7386,75.82552,35,0
5447,22.73997,75.82355,36,0
5447,22.74651,75.81374,37,0
5455,22.66381,75.82298,1,0
5455,22.66652,75.8232,2,0
5455,22.67175,75.82383,3,0
5455,22.67381,75.82438,4,0
5455,22.67568,75.82553,5,0
5455,22.67964,75.82897,6,0
5455,22.68378,75.83066,7,0
5455,22.6839,75.8362,8,0
5455,22.68774,75.83683,9,0
5455,22.69679,75.83935,10,0
5455,22.70537,75.84432,11,0
5455,22.70536,75.84727,12,0
5455,22.70685,75.85,13,0
5455,22.70837,75.85452,14,0
5455,22.71342,75.85589,15,0
5455,22.71626,75.85539,16,0
5455,22.71842,75.85562,17,0
5455,22.72445,75.85892,18,0
5455,22.724,75.86206,19,0
5455,22.72985,75.86328,20,0
5455,22.74134,75.86815,21,0
5455,22.74332,75.87088,22,0
5455,22.74503,75.87168,23,0
5455,22.75065,75.86936,24,0
5455,22.75462,75.86985,25,0
5455,22.75897,75.8702,26,0
5455,22.76408,75.87101,27,0
5455,22.76251,75.87349,28,0
5455,22.76108,75.87496,29,0
5455,22.7589,75.87609,30,0
5455,22.75561,75.87815,31,0
5455,22.75344,75.88469,32,0
5455,22.75277,75.88781,33,0
5455,22.75202,75.89107,34,0
5455,22.75103,75.89499,35,0
5455,22.75132,75.8963,36,0
5455,22.75532,75.89702,37,0
5455,22.7595,75.89802,38,0
5455,22.76306,75.89917,39,0
5455,22.76606,75.90007,40,0
5455,22.76691,75.89983,41,0
5455,22.77189,75.90188,42,0
5455,22.77471,75.90269,43,0
5455,22.78526,75.90584,44,0
5455,22.78859,75.90684,45,0
5455,22.79007,75.90733,46,0
5455,22.79151,75.90773,47,0
5455,22.79839,75.91219,48,0
5455,22.79758,75.91797,49,0
5455,22.79763,75.92058,50,0
5455,22.79679,75.92822,51,0
5455,22.79588,75.93319,52,0
5456,22.79588,75.93319,1,0
5456,22.79679,75.92822,2,0
5456,22.79763,75.92058,3,0
5456,22.79758,75.91797,4,0
5456,22.79839,75.91219,5,0
5456,22.79151,75.90773,6,0
5456,22.79007,75.90733,7,0
5456,22.78859,75.90684,8,0
5456,22.78526,75.90584,9,0
5456,22.77471,75.90269,10,0
5456,22.77189,75.90188,11,0
5456,22.76691,75.89983,12,0
5456,22.76606,75.90007,13,0
5456,22.76306,75.89917,14,0
5456,22.7595,75.89802,15,0
5456,22.75532,75.89702,16,0
5456,22.75132,75.8963,17,0
5456,22.75103,75.89499,18,0
5456,22.75202,75.89107,19,0
5456,22.75277,75.88781,20,0
5456,22.75344,75.88469,21,0
5456,22.75561,75.87815,22,0
5456,22.7589,75.87609,23,0
5456,22.76108,75.87496,24,0
5456,22.76251,75.87349,25,0
5456,22.76408,75.87101,26,0
5456,22.75897,75.8702,27,0
5456,22.75462,75.86985,28,0
5456,22.75065,75.86936,29,0
5456,22.74503,75.87168,30,0
5456,22.74302,75.8704,31,0
5456,22.74134,75.86815,32,0
5456,22.72985,75.86328,33,0
5456,22.724,75.86206,34,0
5456,22.72374,75.85922,35,0
5456,22.71842,75.85562,36,0
5456,22.71626,75.85539,37,0
5456,22.71356,75.85655,38,0
5456,22.70837,75.85452,39,0
5456,22.70685,75.85,40,0
5456,22.70538,75.84605,41,0
5456,22.70537,75.84432,42,0
5456,22.69679,75.83935,43,0
5456,22.68774,75.83683,44,0
5456,22.6839,75.8362,45,0
5456,22.68378,75.83066,46,0
5456,22.67964,75.82897,47,0
5456,22.67568,75.82553,48,0
5456,22.67381,75.82438,49,0
5456,22.67175,75.82383,50,0
5456,22.66652,75.8232,51,0
5456,22.66381,75.82298,52,0
5457,22.79788,75.8473,1,0
5457,22.78996,75.84743,2,0
5457,22.7795,75.85702,3,0
5457,22.77568,75.8603,4,0
5457,22.76408,75.87101,5,0
5457,22.76251,75.87349,6,0
5457,22.76108,75.87496,7,0
5457,22.75561,75.87815,8,0
5457,22.75344,75.88469,9,0
5457,22.75277,75.88781,10,0
5457,22.75202,75.89107,11,0
5457,22.75103,75.89499,12,0
5457,22.75532,75.89702,13,0
5457,22.75361,75.90408,14,0
5457,22.74856,75.90341,15,0
5457,22.74521,75.90292,16,0
5457,22.74121,75.90245,17,0
5457,22.73763,75.90207,18,0
5457,22.73217,75.90206,19,0
5457,22.72465,75.90547,20,0
5457,22.71879,75.90613,21,0
5457,22.71151,75.90582,22,0
5457,22.70605,75.90583,23,0
5457,22.69762,75.90504,24,0
5457,22.69285,75.89966,25,0
5457,22.6901,75.89608,26,0
5457,22.68982,75.88923,27,0
5457,22.68889,75.88449,28,0
5457,22.68598,75.88179,29,0
5457,22.68448,75.879,30,0
5457,22.68538,75.87344,31,0
5457,22.68915,75.87031,32,0
5457,22.69268,75.86781,33,0
5457,22.68805,75.8626,34,0
5457,22.68339,75.85544,35,0
5457,22.68828,75.85532,36,0
5457,22.69519,75.85495,37,0
5457,22.70389,75.85541,38,0
5457,22.70692,75.85579,39,0
5457,22.70837,75.85452,40,0
5457,22.70685,75.85,41,0
5457,22.70538,75.84605,42,0
5457,22.70537,75.84432,43,0
5460,22.63999,75.88834,1,0
5460,22.64545,75.88745,2,0
5460,22.65269,75.88601,3,0
5460,22.6569,75.88516,4,0
5460,22.66012,75.88457,5,0
5460,22.66851,75.8819,6,0
5460,22.67508,75.87926,7,0
5460,22.6792,75.87691,8,0
5460,22.6809,75.87598,9,0
5460,22.68538,75.87344,10,0
5460,22.68915,75.87031,11,0
5460,22.69268,75.86781,12,0
5460,22.6982,75.8646,13,0
5460,22.70085,75.86308,14,0
5460,22.7077,75.85902,15,0
5460,22.70837,75.85452,16,0
5460,22.71342,75.85589,17,0
5460,22.71626,75.85539,18,0
5460,22.71842,75.85562,19,0
5463,22.71842,75.85562,1,0
5463,22.71626,75.85539,2,0
5463,22.71356,75.85655,3,0
5463,22.70837,75.85452,4,0
5463,22.7077,75.85902,5,0
5463,22.70085,75.86308,6,0
5463,22.69772,75.86488,7,0
5463,22.69268,75.86781,8,0
5463,22.68915,75.87031,9,0
5463,22.68538,75.87344,10,0
5463,22.6809,75.87598,11,0
5463,22.6792,75.87691,12,0
5463,22.67508,75.87926,13,0
5463,22.66851,75.8819,14,0
5463,22.66012,75.88457,15,0
5463,22.6569,75.88516,16,0
5463,22.65269,75.88601,17,0
5463,22.64545,75.88745,18,0
5463,22.63999,75.88834,19,0
5472,22.68046,75.92071,1,0
5472,22.68395,75.91371,2,0
5472,22.68678,75.9067,3,0
5472,22.68565,75.88889,4,0
5472,22.68889,75.88449,5,0
5472,22.69211,75.88225,6,0
5472,22.69595,75.87971,7,0
5472,22.69931,75.87791,8,0
5472,22.7014,75.87736,9,0
5472,22.70483,75.87799,10,0
5472,22.70746,75.87884,11,0
5472,22.71139,75.88066,12,0
5472,22.71262,75.8795,13,0
5472,22.71371,75.87587,14,0
5472,22.71397,75.87477,15,0
5472,22.71768,75.86885,16,0
5472,22.71982,75.86903,17,0
5472,22.72077,75.874,18,0
5472,22.72451,75.87419,19,0
5472,22.72858,75.87449,20,0
5472,22.7342,75.875,21,0
5472,22.73983,75.88091,22,0
5472,22.74385,75.88437,23,0
5472,22.74662,75.88795,24,0
5472,22.74865,75.89406,25,0
5472,22.75103,75.89499,26,0
5472,22.75202,75.89107,27,0
5472,22.75277,75.88781,28,0
5472,22.75344,75.88469,29,0
5472,22.75561,75.87815,30,0
5472,22.7589,75.87609,31,0
5472,22.76108,75.87496,32,0
5472,22.76251,75.87349,33,0
5472,22.76408,75.87101,34,0
5472,22.77391,75.87368,35,0
5472,22.77829,75.87501,36,0
5473,22.77829,75.87501,1,0
5473,22.77391,75.87368,2,0
5473,22.76408,75.87101,3,0
5473,22.76251,75.87349,4,0
5473,22.76108,75.87496,5,0
5473,22.7589,75.87609,6,0
5473,22.75561,75.87815,7,0
5473,22.75344,75.88469,8,0
5473,22.75277,75.88781,9,0
5473,22.75202,75.89107,10,0
5473,22.75103,75.89499,11,0
5473,22.74865,75.89406,12,0
5473,22.74662,75.88795,13,0
5473,22.74385,75.88437,14,0
5473,22.73983,75.88091,15,0
5473,22.7342,75.875,16,0
5473,22.72858,75.87449,17,0
5473,22.72451,75.87419,18,0
5473,22.72077,75.874,19,0
5473,22.71982,75.86903,20,0
5473,22.71768,75.86885,21,0
5473,22.71397,75.87477,22,0
5473,22.71371,75.87587,23,0
5473,22.71262,75.8795,24,0
5473,22.71139,75.88066,25,0
5473,22.70746,75.87884,26,0
5473,22.70483,75.87799,27,0
5473,22.7014,75.87736,28,0
5473,22.69931,75.87791,29,0
5473,22.69595,75.87971,30,0
5473,22.69211,75.88225,31,0
5473,22.68889,75.88449,32,0
5473,22.68565,75.88889,33,0
5473,22.68678,75.9067,34,0
5473,22.68395,75.91371,35,0
5473,22.68046,75.92071,36,0
5477,22.63999,75.88834,1,0
5477,22.64545,75.88745,2,0
5477,22.65269,75.88601,3,0
5477,22.6569,75.88516,4,0
5477,22.66012,75.88457,5,0
5477,22.66851,75.8819,6,0
5477,22.67508,75.87926,7,0
5477,22.6792,75.87691,8,0
5477,22.6809,75.87598,9,0
5477,22.68538,75.87344,10,0
5477,22.68915,75.87031,11,0
5477,22.69268,75.86781,12,0
5477,22.69419,75.8705,13,0
5477,22.69931,75.87791,14,0
5477,22.70483,75.87799,15,0
5477,22.70746,75.87884,16,0
5477,22.71139,75.88066,17,0
5477,22.71262,75.8795,18,0
5477,22.71397,75.87477,19,0
5477,22.71371,75.87587,20,0
5477,22.71768,75.86885,21,0
5477,22.71883,75.86425,22,0
5477,22.71866,75.85933,23,0
5477,22.71626,75.85539,24,0
5477,22.71615,75.85373,25,0
5477,22.71559,75.84937,26,0
5477,22.71535,75.84527,27,0
5477,22.71519,75.84062,28,0
5477,22.71787,75.84091,29,0
5477,22.72056,75.84171,30,0
5477,22.72214,75.8346,31,0
5477,22.72351,75.82969,32,0
5477,22.72429,75.82648,33,0
5477,22.7248,75.82447,34,0
5477,22.72574,75.82043,35,0
5477,22.72894,75.815,36,0
5477,22.72978,75.81067,37,0
5477,22.73232,75.80077,38,0
5477,22.73908,75.79089,39,0
5477,22.74143,75.78182,40,0
5477,22.74245,75.77641,41,0
5477,22.7457,75.77553,42,0
5477,22.74852,75.7749,43,0
5477,22.754,75.77168,44,0
5478,22.754,75.77168,1,0
5478,22.74852,75.7749,2,0
5478,22.7457,75.77553,3,0
5478,22.74245,75.77641,4,0
5478,22.74143,75.78182,5,0
5478,22.73908,75.79089,6,0
5478,22.73232,75.80077,7,0
5478,22.72978,75.81067,8,0
5478,22.72894,75.815,9,0
5478,22.72574,75.82043,10,0
5478,22.7248,75.82447,11,0
5478,22.72429,75.82648,12,0
5478,22.72351,75.82969,13,0
5478,22.72214,75.8346,14,0
5478,22.72056,75.84171,15,0
5478,22.71787,75.84091,16,0
5478,22.71519,75.84062,17,0
5478,22.71535,75.84527,18,0
5478,22.71559,75.84937,19,0
5478,22.71615,75.85373,20,0
5478,22.71626,75.85539,21,0
5478,22.71866,75.85933,22,0
5478,22.71984,75.86429,23,0
5478,22.71768,75.86885,24,0
5478,22.71371,75.87587,25,0
5478,22.71397,75.87477,26,0
5478,22.71139,75.88066,27,0
5478,22.71262,75.8795,28,0
5478,22.70746,75.87884,29,0
5478,22.70483,75.87799,30,0
5478,22.69931,75.87791,31,0
5478,22.69419,75.8705,32,0
5478,22.69268,75.86781,33,0
5478,22.68915,75.87031,34,0
5478,22.68538,75.87344,35,0
5478,22.6809,75.87598,36,0
5478,22.6792,75.87691,37,0
5478,22.67508,75.87926,38,0
5478,22.66851,75.8819,39,0
5478,22.66012,75.88457,40,0
5478,22.6569,75.88516,41,0
5478,22.65269,75.88601,42,0
5478,22.64545,75.88745,43,0
5478,22.63999,75.88834,44,0
5479,22.74521,75.98173,1,0
5479,22.74032,75.97398,2,0
5479,22.73473,75.96065,3,0
5479,22.73462,75.95341,4,0
5479,22.73469,75.95199,5,0
5479,22.73069,75.9403,6,0
5479,22.7296,75.937,7,0
5479,22.72771,75.93204,8,0
5479,22.72688,75.92779,9,0
5479,22.72561,75.92302,10,0
5479,22.72248,75.91727,11,0
5479,22.72173,75.91554,12,0
5479,22.71965,75.91076,13,0
5479,22.7193,75.90843,14,0
5479,22.72006,75.90539,15,0
5479,22.72061,75.90222,16,0
5479,22.72112,75.89869,17,0
5479,22.72221,75.89483,18,0
5479,22.72321,75.89301,19,0
5479,22.72332,75.88849,20,0
5479,22.72373,75.88665,21,0
5479,22.72278,75.88235,22,0
5479,22.72158,75.87766,23,0
5479,22.72108,75.87584,24,0
5479,22.72077,75.874,25,0
5479,22.7201,75.87128,26,0
5479,22.71901,75.86575,27,0
5479,22.71876,75.86355,28,0
5479,22.71866,75.85933,29,0
5479,22.71842,75.85562,30,0
5479,22.71626,75.85539,31,0
5479,22.71291,75.85606,32,0
5479,22.70837,75.85452,33,0
5479,22.70685,75.85,34,0
5479,22.70536,75.84727,35,0
5479,22.70537,75.84432,36,0
5479,22.70127,75.83794,37,0
5479,22.69967,75.83583,38,0
5479,22.69719,75.83247,39,0
5479,22.69364,75.82756,40,0
5479,22.68945,75.82558,41,0
5479,22.68657,75.82475,42,0
5479,22.68545,75.8239,43,0
5479,22.68355,75.82227,44,0
5479,22.68017,75.82067,45,0
5479,22.67626,75.81845,46,0
5479,22.66941,75.81457,47,0
5480,22.66941,75.81457,1,0
5480,22.67626,75.81845,2,0
5480,22.68017,75.82067,3,0
5480,22.68355,75.82227,4,0
5480,22.68545,75.8239,5,0
5480,22.68657,75.82475,6,0
5480,22.68945,75.82558,7,0
5480,22.69364,75.82756,8,0
5480,22.69719,75.83247,9,0
5480,22.69967,75.83583,10,0
5480,22.70127,75.83794,11,0
5480,22.70537,75.84432,12,0
5480,22.70538,75.84605,13,0
5480,22.70685,75.85,14,0
5480,22.70837,75.85452,15,0
5480,22.71356,75.85655,16,0
5480,22.71626,75.85539,17,0
5480,22.71842,75.85562,18,0
5480,22.71866,75.85933,19,0
5480,22.71989,75.86331,20,0
5480,22.71976,75.86529,21,0
5480,22.7201,75.87128,22,0
5480,22.72077,75.874,23,0
5480,22.72108,75.87584,24,0
5480,22.72158,75.87766,25,0
5480,22.72278,75.88235,26,0
5480,22.72373,75.88665,27,0
5480,22.72332,75.88849,28,0
5480,22.72321,75.89301,29,0
5480,22.72221,75.89483,30,0
5480,22.72112,75.89869,31,0
5480,22.72061,75.90222,32,0
5480,22.72006,75.90539,33,0
5480,22.7193,75.90843,34,0
5480,22.71965,75.91076,35,0
5480,22.72173,75.91554,36,0
5480,22.72248,75.91727,37,0
5480,22.72561,75.92302,38,0
5480,22.72688,75.92779,39,0
5480,22.72771,75.93204,40,0
5480,22.7296,75.937,41,0
5480,22.73069,75.9403,42,0
5480,22.73469,75.95199,43,0
5480,22.73462,75.95341,44,0
5480,22.73473,75.96065,45,0
5480,22.74032,75.97398,46,0
5480,22.74521,75.98173,47,0
5481,22.70537,75.84432,1,0
5481,22.70538,75.84605,2,0
5481,22.70685,75.85,3,0
5481,22.70837,75.85452,4,0
5481,22.70692,75.85579,5,0
5481,22.70389,75.85541,6,0
5481,22.69519,75.85495,7,0
5481,22.68828,75.85532,8,0
5481,22.68339,75.85544,9,0
5481,22.68805,75.8626,10,0
5481,22.69268,75.86781,11,0
5481,22.68915,75.87031,12,0
5481,22.68538,75.87344,13,0
5481,22.68448,75.879,14,0
5481,22.69211,75.88225,15,0
5481,22.68889,75.88449,16,0
5481,22.68982,75.88923,17,0
5481,22.6901,75.89608,18,0
5481,22.69285,75.89966,19,0
5481,22.69762,75.90504,20,0
5481,22.70605,75.90583,21,0
5481,22.71151,75.90582,22,0
5481,22.71879,75.90613,23,0
5481,22.72465,75.90547,24,0
5481,22.73217,75.90206,25,0
5481,22.73763,75.90207,26,0
5481,22.74121,75.90245,27,0
5481,22.74521,75.90292,28,0
5481,22.74856,75.90341,29,0
5481,22.75361,75.90408,30,0
5481,22.75532,75.89702,31,0
5481,22.75103,75.89499,32,0
5481,22.75202,75.89107,33,0
5481,22.75277,75.88781,34,0
5481,22.75344,75.88469,35,0
5481,22.75561,75.87815,36,0
5481,22.76108,75.87496,37,0
5481,22.76251,75.87349,38,0
5481,22.76408,75.87101,39,0
5481,22.77568,75.8603,40,0
5481,22.7795,75.85702,41,0
5481,22.78996,75.84743,42,0
5481,22.79788,75.8473,43,0
5493,22.69285,75.89966,1,0
5493,22.68889,75.88449,2,0
5493,22.68598,75.88179,3,0
5493,22.68538,75.87344,4,0
5493,22.68915,75.87031,5,0
5493,22.69268,75.86781,6,0
5493,22.6982,75.8646,7,0
5493,22.70085,75.86308,8,0
5493,22.7077,75.85902,9,0
5493,22.70837,75.85452,10,0
5493,22.70685,75.85,11,0
5493,22.70538,75.84605,12,0
5493,22.70537,75.84432,13,0
5493,22.70871,75.84163,14,0
5493,22.71313,75.84063,15,0
5493,22.71519,75.84062,16,0
5493,22.71787,75.84091,17,0
5493,22.72056,75.84171,18,0
5493,22.72214,75.8346,19,0
5493,22.72351,75.82969,20,0
5493,22.72429,75.82648,21,0
5493,22.7248,75.82447,22,0
5493,22.72574,75.82043,23,0
5493,22.72894,75.815,24,0
5493,22.72978,75.81067,25,0
5493,22.73272,75.80021,26,0
5493,22.73908,75.79089,27,0
5493,22.74143,75.78182,28,0
5493,22.74245,75.77641,29,0
5493,22.7457,75.77553,30,0
5493,22.74852,75.7749,31,0
5493,22.754,75.77168,32,0
5494,22.754,75.77168,1,0
5494,22.74852,75.7749,2,0
5494,22.7457,75.77553,3,0
5494,22.74245,75.77641,4,0
5494,22.74143,75.78182,5,0
5494,22.73908,75.79089,6,0
5494,22.73272,75.80021,7,0
5494,22.72978,75.81067,8,0
5494,22.72894,75.815,9,0
5494,22.72574,75.82043,10,0
5494,22.7248,75.82447,11,0
5494,22.72429,75.82648,12,0
5494,22.72351,75.82969,13,0
5494,22.72214,75.8346,14,0
5494,22.72056,75.84171,15,0
5494,22.71787,75.84091,16,0
5494,22.71519,75.84062,17,0
5494,22.71313,75.84063,18,0
5494,22.70871,75.84163,19,0
5494,22.70537,75.84432,20,0
5494,22.70536,75.84727,21,0
5494,22.70685,75.85,22,0
5494,22.70837,75.85452,23,0
5494,22.7077,75.85902,24,0
5494,22.70085,75.86308,25,0
5494,22.69772,75.86488,26,0
5494,22.69268,75.86781,27,0
5494,22.68915,75.87031,28,0
5494,22.68538,75.87344,29,0
5494,22.68598,75.88179,30,0
5494,22.68889,75.88449,31,0
5494,22.69285,75.89966,32,0
5498,22.65987,75.91095,1,0
5498,22.6651,75.91563,2,0
5498,22.66952,75.9103,3,0
5498,22.67331,75.90682,4,0
5498,22.67853,75.89975,5,0
5498,22.68146,75.89518,6,0
5498,22.68565,75.88889,7,0
5498,22.68889,75.88449,8,0
5498,22.68982,75.88923,9,0
5498,22.6901,75.89608,10,0
5498,22.69285,75.89966,11,0
5498,22.69762,75.90504,12,0
5498,22.69958,75.90671,13,0
5498,22.70605,75.90583,14,0
5498,22.70741,75.9003,15,0
5498,22.70951,75.89095,16,0
5498,22.71014,75.88842,17,0
5498,22.71112,75.88412,18,0
5498,22.71139,75.88066,19,0
5498,22.71296,75.87857,20,0
5498,22.71371,75.87587,21,0
5498,22.71397,75.87477,22,0
5498,22.71586,75.87085,23,0
5498,22.71768,75.86885,24,0
5498,22.7201,75.87128,25,0
5498,22.71976,75.86529,26,0
5498,22.71989,75.86331,27,0
5498,22.71907,75.85896,28,0
5498,22.71931,75.85878,29,0
5498,22.71842,75.85562,30,0
5498,22.72374,75.85922,31,0
5498,22.72299,75.85797,32,0
5498,22.72286,75.85393,33,0
5498,22.7255,75.85272,34,0
