stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,stop_access
10,10,Vijay Nagar BRT,Vijay Nagar BRT,,22.74951,75.89505,,,0,,Asia/Kolkata,0,,,
1127,1127,Shikshak Nagar,Shikshak Nagar,,22.72429,75.82648,,,0,,Asia/Kolkata,0,,,
12,12,M. R. 9  Square,M. R. 9  Square,,22.74333,75.89316,,,0,,Asia/Kolkata,0,,,
14,14,Press Complex,Press Complex,,22.73744,75.89131,,,0,,Asia/Kolkata,0,,,
15,15,L.I.G. Square,L.I.G. Square,,22.73446,75.89037,,,0,,Asia/Kolkata,0,,,
17,17,Industry House,Industry House,,22.72904,75.88864,,,0,,Asia/Kolkata,0,,,
18,18,Industry House Cross Road,Industry House Cross Road,,22.72748,75.88795,,,0,,Asia/Kolkata,0,,,
1832,1832,Chandan Nagar,Chandan Nagar,,22.70725,75.82426,,,0,,Asia/Kolkata,0,,,
2,2,Niranjanpur,Niranjanpur,,22.76904,75.90103,,,0,,Asia/Kolkata,0,,,
20,20,Palasiya,Palasiya,,22.72471,75.8871,,,0,,Asia/Kolkata,0,,,
21,21,Palasiya Chouraha,Palasiya Chouraha,,22.72373,75.88665,,,0,,Asia/Kolkata,0,,,
22,22,Gita Bhawan,Gita Bhawan,,22.71902,75.88447,,,0,,Asia/Kolkata,0,,,
23,23,Geeta Bhawan Cross Road,Geeta Bhawan Cross Road,,22.71834,75.88424,,,0,,Asia/Kolkata,0,,,
24,24,AiCTSL,AiCTSL,,22.71451,75.88368,,,0,,Asia/Kolkata,0,,,
25,25,Shivaji Circle,Shivaji Circle,,22.71143,75.88296,,,0,,Asia/Kolkata,0,,,
26,26,Shivaji Vatika BRT,Shivaji Vatika BRT,,22.71109,75.88203,,,0,,Asia/Kolkata,0,,,
28,28,GPO BRT,GPO BRT,,22.70662,75.87887,,,0,,Asia/Kolkata,0,,,
30,30,Indira Pratima,Indira Pratima,,22.70357,75.87655,,,0,,Asia/Kolkata,0,,,
32,32,Navlakha Square BRT,Navlakha Square BRT,,22.69815,75.87753,,,0,,Asia/Kolkata,0,,,
33,33,Holkar Subway BRT,Holkar Subway BRT,,22.69513,75.87222,,,0,,Asia/Kolkata,0,,,
35,35,Tantya Bheel Chouraha (Bhawarkua) BRT,Tantya Bheel Chouraha (Bhawarkua) BRT,,22.69204,75.86684,,,0,,Asia/Kolkata,0,,,
36,36,Vishnupuri,Vishnupuri,,22.68949,75.86409,,,0,,Asia/Kolkata,0,,,
37,37,Mata Gujri,Mata Gujri,,22.68665,75.86125,,,0,,Asia/Kolkata,0,,,
3758,3758,Chhota Bangarda,Chhota Bangarda,,22.74651,75.81374,,,0,,Asia/Kolkata,0,,,
3759,3759,Surajbali Nagar,Surajbali Nagar,,22.73997,75.82355,,,0,,Asia/Kolkata,0,,,
3760,3760,Yadav Dharmshala,Yadav Dharmshala,,22.7386,75.82552,,,0,,Asia/Kolkata,0,,,
3761,3761,Regional Park Gate,Regional Park Gate,,22.67736,75.85555,,,0,,Asia/Kolkata,0,,,
3763,3763,Maa Vihar1,Maa Vihar1,,22.67794,75.84998,,,0,,Asia/Kolkata,0,,,
3764,3764,Gadbadi Pulia2,Gadbadi Pulia2,,22.6754,75.84674,,,0,,Asia/Kolkata,0,,,
3766,3766,Rau Bypass,Rau Bypass,,22.63015,75.80739,,,0,,Asia/Kolkata,0,,,
3768,3768,Arjun Nagar,Arjun Nagar,,22.67382,75.84129,,,0,,Asia/Kolkata,0,,,
